Codice AIC;Sost.isce;Sost.ito;Descrizione prodotto;Ditta produttrice;Forma farmaceutica;Principio Attivo;A.T.C. Descrizione;Cod. gruppo;Descrizione gruppo;Tipo prodotto;Doping;Glutine;Stupefacente;Temperatura;Mesi di validita';Validita' dopo apertura;Iva;Prz. Att.;Imp.Assist;PrzRimE.;Obbligatorieta';Particolarita';Cl;Prescrivibilita';Tipo ricetta;Regime SSN;Note prescrizione
027764012;;;CLOEL*OS SOSP 200ML708MG/100ML;AESCULAPIUS FARMACEUTICI Srl;SOSPENSIONE ORALE;CLOPERASTINA FENDIZOATO;CLOPERASTINA;;;FARMACO ETICO;N;N;;NESSUNA PARTIC.CONDIZ.DI CONS.;60 MESI;;ALIQUOTA 10%;10.5;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;SOP - NON RICHIESTA;NON CONCEDIBILE;
045373014;;;CLOFARABINA ME*4FL 20ML 1MG/ML;MEDAC PHARMA Srl;SOLUZIONE PER INFUSIONE CONC;CLOFARABINA;CLOFARABINA;;;FARMACO GENERICO;N;;TAB.5 F.U. XII;EVITARE IL CONGELAMENTO;36 MESI;USARE IMMEDIATAMENTE;ALIQUOTA 10%;7584.47;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;H;;OSP - USO OSPEDALIERO;NON CONCEDIBILE;
028859015;;;CLOFEND*OS SOSP 200ML7,08MG/ML;FIDIA FARMACEUTICI SpA;SOSPENSIONE ORALE;LEVOCLOPERASTINA FENDIZOATO;CLOPERASTINA;;;FARMACO ETICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;60 MESI;;ALIQUOTA 10%;12.9;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
020773026;020773014;;CLOMID*10CPR 50MG;BRUNO FARMACEUTICI SpA;COMPRESSE;CLOMIFENE CITRATO;CLOMIFENE;;;FARMACO ETICO;S;N;;NESSUNA PARTIC.CONDIZ.DI CONS.;60 MESI;;ALIQUOTA 10%;5.03;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
044150011;;;CLONAZEPAM EG*OS GTT 2,5MG/ML;EG SpA;GOCCE ORALI SOLUZIONE;CLONAZEPAM;CLONAZEPAM;JEB;CLONAZEPAM 2,5MG/ML 10ML USO ORALE;FARMACO GENERICO;N;;TAB.E MEDICINALI L. 79/2014;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;28 GIORNI;ALIQUOTA 10%;1.45;0.0;0.0;OBBL.1GR.BENZODIAZEPINE ORALI;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 3V IN 30GIORNI;CONCEDIB.ESENTE;
042850014;;;CLOPIDOGREL ACT*28CPR RIV 75MG;BB FARMA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;12.5;0.15;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044616011;;;CLOPIDOGREL ALM*28CPR RIV 75MG;ALMUS Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +25 GRADI;24 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039678026;;;CLOPIDOGREL ALT*28CPR RIV 75MG;LABORATORI ALTER Srl;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +25 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
048430060;;;CLOPIDOGREL ASA VI*28CPR75+100;VIATRIS ITALIA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO/ACIDO ACETILSALICILICO;ASSOCIAZIONI;JGA;CLOPIDOGREL+ACIDO ACETILSALICILICO 75+100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +25 GRADI;24 MESI;;ALIQUOTA 10%;12.64;0.0;12.64;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
042557025;039640038;;CLOPIDOGREL AUR*28CPR RIV 75MG;AUROBINDO PHARMA ITALIA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL BISOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;24 MESI;;ALIQUOTA 10%;14.0;1.65;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039643022;;;CLOPIDOGREL DOC*28CPR RIV 75MG;DOC GENERICI Srl;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;N;;INFERIORE A +25 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044415267;039440021;;CLOPIDOGREL EG*28CPR RIV 75MG;EG SpA;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039482031;;;CLOPIDOGREL KRKA*28CPR 75MG;KRKA FARMACEUTICI MILANO Srl;COMPRESSE RIVESTITE;CLOPIDOGREL CLORIDRATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;AL RIPARO DA LUCE E UMIDITA';36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;UNA O PIU' INDIC.TER. NON RIMB;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039458029;;;CLOPIDOGREL PEN*28CPR RIV 75MG;TOWA PHARMACEUTICAL SpA;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP.A +30 GRADI, LUOGO ASC;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039951025;039456049;;CLOPIDOGREL SAN*28CPR RIV 75MG;SANDOZ SpA;COMPRESSE RIVESTITE;CLOPIDOGREL CLORIDRATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP.A +25,RIPARO LUCE-UMID;21 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
041490020;;;CLOPIDOGREL TECN*28CPR RIV75MG;TECNIGEN Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +30 GRADI;24 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
041878113;039630037;;CLOPIDOGREL TEVA*28CPR RIV75MG;TEVA ITALIA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
043035017;;;CLOPIDOGREL TEVA*28CPR RIV75MG;BB FARMA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;12.5;0.15;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
049579030;039397031;;CLOPIDOGREL VIA*28CPR RIV 75MG;MYLAN ITALIA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +25 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039599030;;;CLOPIDOGREL ZEN*28CPR RIV 75MG;ZENTIVA ITALIA Srl;COMPRESSE RIVESTITE;CLOPIDOGREL IDROGENOSOLFATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
039494024;;;CLOPINOVO*28CPR RIV 75MG;ERREKAPPA EUROTERAPICI SpA;COMPRESSE RIVESTITE;CLOPIDOGREL BESILATO;CLOPIDOGREL;EWA;CLOPIDOGREL 75MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +25 GRADI;36 MESI;;ALIQUOTA 10%;12.35;0.0;12.35;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
026890119;026890032;;CLOPIXOL*20CPR RIV 25MG;LUNDBECK ITALIA SpA;COMPRESSE RIVESTITE;ZUCLOPENTIXOLO DICLORIDRATO;ZUCLOPENTIXOLO;;;FARMACO ETICO;N;N;;INFERIORE A +25 GRADI;24 MESI;;ALIQUOTA 10%;19.32;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
026890107;026890020;;CLOPIXOL*30CPR RIV 10MG;LUNDBECK ITALIA SpA;COMPRESSE RIVESTITE;ZUCLOPENTIXOLO DICLORIDRATO;ZUCLOPENTIXOLO;;;FARMACO ETICO;N;N;;INFERIORE A +25 GRADI;24 MESI;;ALIQUOTA 10%;14.49;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
026890158;020885051;;CLOPIXOL*IM 1F 200MG/ML RP;LUNDBECK ITALIA SpA;SOLUZIONE INIETTABILE RP;ZUCLOPENTIXOLO DECANOATO;ZUCLOPENTIXOLO;;;FARMACO ETICO;N;N;TAB.5 F.U. XII;AL RIPARO DALLA LUCE;36 MESI;;ALIQUOTA 10%;5.99;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
026890083;;;CLOPIXOL*IM 1F 50MG 1ML;LUNDBECK ITALIA SpA;SOLUZIONE INIETTABILE;ZUCLOPENTIXOLO ACETATO;ZUCLOPENTIXOLO;;;FARMACO ETICO;N;N;TAB.5 F.U. XII;AL RIPARO DALLA LUCE;36 MESI;;ALIQUOTA 10%;22.31;0.0;0.0;NON OBBLIGATORIA;POSSIBILE ERRATA TARGATURA;C;;RNR - NON RIPETIBILE (EX S/F);NON CONCEDIBILE;
026890172;;;CLOPIXOL*OS GTT 10ML 20MG/ML;LUNDBECK ITALIA SpA;GOCCE ORALI SOLUZIONE;ZUCLOPENTIXOLO DICLORIDRATO;ZUCLOPENTIXOLO;;;FARMACO ETICO;N;N;;DA +2 A +8,RIPARO LUCE;18 MESI;6 SETTIMANE INF.A +25 GRADI;ALIQUOTA 10%;14.44;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
018155061;018155059;018155046;CLORADEX*COLL 20MONO 0,4ML;BAUSCH & LOMB-IOM SpA;COLLIRIO SOSPENSIONE;DESAMETASONE/CLORAMFENICOLO;DESAMETASONE ED ANTIMICROBICI;;;FARMACO ETICO;N;;;DA +2 A +8 GRADI, IN FRIGO;24 MESI;;ALIQUOTA 10%;22.0;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
028678035;;;CLORAZER*6CPR 750MG RM;BIOMED PHARMA Srl;COMPRESSE RM;CEFACLOR MONOIDRATO;CEFACLOR;21D;CEFACLORO 750MG 6 UNITA' USO ORALE;FARMACO ETICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;9.16;0.0;9.16;OBBL.1GR.CEFALOSPORINA ORALE;OBBL.1GR.CEFALOSPORINA ORALE;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
026027021;;;CLORTANOL*30CPR 100+25MG;C.T. LAB.FARMACEUTICO Srl;COMPRESSE;ATENOLOLO/CLORTALIDONE;ATENOLOLO ED ALTRI DIURETICI;10D;ATENOLOLO+CLORTALIDONE 100+25MG 30 UNITA' USO ORALE;FARMACO ETICO;S;N;;NON SUP. A +25 GRADI;36 MESI;;ALIQUOTA 10%;6.99;0.0;6.99;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
036934014;;;CLOTRIMAZOLO DOC*CREMA 30G 1%;DOC GENERICI Srl;CREMA DERMATOLOGICA;CLOTRIMAZOLO;CLOTRIMAZOLO;;;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;0.0;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;OTC - LIBERA VENDITA;NON CONCEDIBILE;
036931018;;;CLOTRIMAZOLO FARMAK*CR 30G 1%;FARMAKOPEA SpA;CREMA DERMATOLOGICA;CLOTRIMAZOLO;CLOTRIMAZOLO;;;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;6.6;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;OTC - LIBERA VENDITA;NON CONCEDIBILE;
037990013;;;CLOTRIMAZOLO FG*CREMA 30G 1%;FG Srl;CREMA DERMATOLOGICA;CLOTRIMAZOLO;CLOTRIMAZOLO;;;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;6.4;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;OTC - LIBERA VENDITA;NON CONCEDIBILE;
029213016;;;CLOX*30CPR 250MG;I.B.N. SAVIO Srl;COMPRESSE;TICLOPIDINA CLORIDRATO;TICLOPIDINA;04A;TICLOPIDINA 250MG 30 UNITA' USO ORALE;FARMACO ETICO;N;;TAB.5 F.U. XII;AL RIPARO DALLA LUCE;36 MESI;;ALIQUOTA 10%;3.27;0.0;3.27;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
043807130;;;CLOZAPINA ACC*28CPR 100MG;ACCORD HEALTHCARE ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;19.5;0.0;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
043807039;;;CLOZAPINA ACC*28CPR 25MG;ACCORD HEALTHCARE ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;5.38;0.0;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
046028027;;;CLOZAPINA AUR*28CPR 100MG;AUROBINDO PHARMA ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;INFERIORE A +30 GRADI;36 MESI;;ALIQUOTA 10%;19.5;0.0;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
046028015;;;CLOZAPINA AUR*28CPR 25MG;AUROBINDO PHARMA ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;INFERIORE A +30 GRADI;36 MESI;;ALIQUOTA 10%;5.38;0.0;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
035390032;;;CLOZAPINA CHIESI*28CPR 100MG;CHIESI ITALIA SpA;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NON SUP. A +30 GRADI;60 MESI;;ALIQUOTA 10%;22.73;3.23;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
035390018;;;CLOZAPINA CHIESI*28CPR 25MG;CHIESI ITALIA SpA;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NON SUP. A +30 GRADI;60 MESI;;ALIQUOTA 10%;7.06;1.68;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
044326027;;;CLOZAPINA DOC*28CPR 100MG;DOC GENERICI Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;19.5;0.0;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
044326015;;;CLOZAPINA DOC*28CPR 25MG;DOC GENERICI Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;5.38;0.0;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
036638221;;;CLOZAPINA HEX*28CPR 100MG;SANDOZ SpA;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;N;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;48 MESI;;ALIQUOTA 10%;24.73;5.23;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
036638029;;;CLOZAPINA HEX*28CPR 25MG;SANDOZ SpA;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;N;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;48 MESI;;ALIQUOTA 10%;7.06;1.68;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PR.OSP/DIP.SAL.MEN/SP:PS NEUPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
044349090;;;CLOZAPINA TEVA*28CPR 100MG;TEVA ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZA;CLOZAPINA 100MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;19.5;0.0;19.5;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PRESCR.OSP/SPEC: PSICH NEUROPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
044349037;;;CLOZAPINA TEVA*28CPR 25MG;TEVA ITALIA Srl;COMPRESSE DIVISIBILI;CLOZAPINA;CLOZAPINA;AZB;CLOZAPINA 25MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;TAB.5 F.U. XII;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;5.38;0.0;5.38;NON OBBLIGATORIA;CONTINUITA'TERAPEUTICA H-T PT;A;PRESCR.OSP/SPEC: PSICH NEUROPS;RNRL - LIMITATIVA NON RIPETIB.;CONCEDIB.ESENTE;DISTR.STRUT.PUBBL.E PIANO TER.
040951016;;;COABESART*28CPR 150MG+12,5MG;S.F. GROUP Srl;COMPRESSE RIVESTITE;IRBESARTAN/IDROCLOROTIAZIDE;IRBESARTAN E DIURETICI;NKA;IRBESARTAN+IDROCLOROTIAZIDE 150+12,5MG 28 UNITA' USO ORALE;FARMACO GENERICO;S;;;NON SUP.A +30, RIPARO LUCE;24 MESI;;ALIQUOTA 10%;5.77;0.0;5.77;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
040951028;;;COABESART*28CPR 300MG+12,5MG;S.F. GROUP Srl;COMPRESSE RIVESTITE;IRBESARTAN/IDROCLOROTIAZIDE;IRBESARTAN E DIURETICI;NKB;IRBESARTAN+IDROCLOROTIAZIDE 300+12,5MG 28 UNITA' USO ORALE;FARMACO GENERICO;S;;;NON SUP.A +30, RIPARO LUCE;24 MESI;;ALIQUOTA 10%;7.79;0.0;7.79;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
040951030;;;COABESART*28CPR 300MG+25MG;S.F. GROUP Srl;COMPRESSE RIVESTITE;IRBESARTAN/IDROCLOROTIAZIDE;IRBESARTAN E DIURETICI;NKC;IRBESARTAN+IDROCLOROTIAZIDE 300+25MG 28 UNITA' USO ORALE;FARMACO GENERICO;S;;;NON SUP.A +30, RIPARO LUCE;24 MESI;;ALIQUOTA 10%;7.79;0.0;7.79;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
034191015;;;COAPROVEL*28CPR 150MG+12,5MG;SANOFI Srl;COMPRESSE;IRBESARTAN/IDROCLOROTIAZIDE;IRBESARTAN E DIURETICI;NKA;IRBESARTAN+IDROCLOROTIAZIDE 150+12,5MG 28 UNITA' USO ORALE;FARMACO ETICO;S;N;;NON SUP.A +30, IN CONF.ORIGIN.;36 MESI;;ALIQUOTA 10%;8.05;2.28;5.77;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
